,Model,Colour,Memory,RAM,Battery,Rear_camera_mp,Front_Camera_mp,AI_Lens,Mobile_Height,Processor,Price
254,Micromax IN 2C,Silver,32,3,5000,8MP,5MP,False,16.56,Unisoc T610,5999.0
255,REDMI Note 12 Pro+ 5G,Arctic White,256,8,4980,200MP,16MP,False,16.94,Mediatek Dimensity 1080,29999.0
256,REDMI Note 12,Lunar Black,128,6,5000,50MP,13MP,False,16.94,Snapdragon 685,16999.0
257,OPPO A17,Sunlight Orange,64,4,5000,50MP,5MP,False,16.66,Mediatek Helio G35,12499.0
258,OPPO A17,Midnight Black,64,4,5000,50MP,5MP,False,16.66,Mediatek Helio G35,12499.0
259,POCO X5 Pro 5G,Yellow,128,6,5000,108MP,16MP,False,16.94,Qualcomm Snapdragon 778G,21999.0
260,realme 9 Pro+ 5G,Aurora Green,256,8,4500,50MP,16MP,False,16.26,Mediatek Dimensity 920,21999.0
261,realme 9 Pro+ 5G,Midnight Black,256,8,4500,50MP,16MP,False,16.26,Mediatek Dimensity 920,21999.0
262,REDMI 11 Prime,Playful Green,64,4,5000,50MP,8MP,False,16.71,Helio G99,9999.0
263,REDMI Note 12 Pro 5G,Glacier Blue,256,8,5000,50MP,16MP,False,16.94,Mediatek Dimensity 1080,26999.0
